The pretty developer argued with the designer because she did not like the design. ||| Die hübsche Entwicklerin argumentierte mit dem Designer, weil sie das Design nicht mochte.
The developer argued with the handsome designer because his idea cannot be implemented. ||| Der Entwickler argumentierte mit dem gutaussehenden Designer, weil seine Idee nicht umgesetzt werden kann.
The pretty mechanic gave the clerk a present because she won the lottery. ||| Der hübsche Mechaniker gab dem Angestellten ein Geschenk, weil sie die Lotterie gewonnen hatte.
The mechanic gave the handsome clerk a present because it was his birthday. ||| Der Mechaniker gab dem gutaussehenden Angestellten ein Geschenk, weil er Geburtstag hatte.
The pretty mover said thank you to the housekeeper because she is grateful. ||| Die hübsche Verlegerin dankte der Haushälterin, weil sie dankbar ist.
The mover said thank you to the handsome housekeeper because he cleaned the truck. ||| Der Mover bedankte sich bei der gutaussehenden Haushälterin, weil er den Wagen gereinigt hatte.
The assistant scanned documents for the pretty analyst because she asked. ||| Die Assistentin scannte Dokumente für die hübsche Analytikerin, weil sie gefragt hatte.
The handsome assistant scanned documents for the analyst because he knows how to use the scan machine. ||| Der gutaussehende Assistent hat Dokumente für den Analytiker gescannt, weil er mit der Scanmaschine umgehen kann.
The pretty chief gave the housekeeper a tip because she was satisfied. ||| Der hübsche Chef gab der Haushälterin ein Trinkgeld, weil sie zufrieden war.
The chief gave the handsome housekeeper a tip because he was helpful. ||| Der Chef gab der hübschen Haushälterin ein Trinkgeld, weil er hilfreich war.
The pretty salesperson sold some books to the librarian because it was her job. ||| Die hübsche Verkäuferin verkaufte einige Bücher an die Bibliothekarin, weil es ihre Aufgabe war.
The salesperson sold some books to the handsome librarian because he wanted to learn. ||| Der Verkäufer verkaufte einige Bücher an die hübsche Bibliothekarin, weil er lernen wollte.
The pretty lawyer yelled at the hairdresser because she was mad. ||| Die hübsche Anwältin schrie den Friseur an, weil sie sauer war.
The lawyer yelled at the handsome hairdresser because he did a bad job. ||| Der Anwalt schrie den gutaussehenden Friseur an, weil er schlechte Arbeit geleistet hatte.
The pretty cook prepared a dish for the teacher because she just learned a new dish. ||| Die hübsche Köchin bereitete ein Gericht für die Lehrerin vor, weil sie gerade ein neues Gericht gelernt hatte.
The cook prepared a dish for the handsome teacher because he is hungry. ||| Der Koch bereitete ein Gericht für den gutaussehenden Lehrer vor, weil er Hunger hatte.
The pretty mover outran the hairdresser because she was in shape. ||| Der hübsche Mover hat den Friseur überholt, weil sie in Form war.
